,Explained Variance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Dimension 1,0.3401,-0.1905,-0.1194,-0.2052,-0.0055,0.0066,-0.0905,-0.0254,-0.0286,0.007,-0.0286,0.0676,-0.1428,0.0162,0.0275,0.0091,0.0068,-0.8935,-0.0173,-0.0235,-0.0541,0.0037,-0.0206,-0.1125,-0.0986,0.0821,0.0873,-0.0461,0.0075,-0.0172,-0.1353,-0.008,-0.02,-0.1008
Dimension 2,0.1538,0.258,0.152,-0.0254,0.0849,-0.0101,-0.4296,0.1026,0.1167,-0.0119,0.1167,0.0,-0.0957,-0.0466,0.0171,0.0159,-0.0128,0.0165,0.1044,0.2457,-0.0441,0.0076,0.0525,0.1847,-0.0879,0.1993,0.2152,0.0663,0.1626,0.2698,0.1941,0.2068,0.0524,-0.5261
Dimension 3,0.1509,0.0313,0.0216,0.0248,0.186,0.0053,0.3881,0.193,0.2218,0.0046,0.2218,-0.0181,0.0814,0.0346,-0.0157,-0.0268,0.0032,-0.1496,0.0078,0.3177,0.1054,-0.0111,0.0169,0.0132,0.0902,0.1597,0.1698,-0.0038,0.2232,0.3195,0.0245,0.3082,0.0171,0.4718
Dimension 4,0.1125,-0.4883,-0.2831,0.1447,0.0423,-0.005,-0.1627,0.0438,0.0517,-0.0048,0.0517,0.0425,-0.0668,-0.0108,0.0047,-0.0054,-0.0038,0.2731,-0.227,0.1798,-0.1422,0.0005,-0.0449,-0.3757,-0.0603,-0.0223,-0.0235,-0.1639,0.1562,0.2049,-0.37,0.1785,-0.0452,-0.1668
Dimension 5,0.0397,0.0072,0.019,-0.0711,-0.0279,0.0372,0.0181,-0.1107,-0.1194,0.0422,-0.1194,0.0625,-0.1093,0.1143,0.0659,0.0184,0.0442,0.194,-0.1621,-0.1756,-0.0038,0.0079,-0.0563,-0.0564,-0.1185,0.563,0.6278,-0.1886,-0.0386,-0.1649,-0.0206,-0.0536,-0.0543,0.1308
Dimension 6,0.0339,0.1093,0.0714,-0.2857,0.0239,-0.0248,-0.1722,0.0056,0.0036,-0.0259,0.0036,0.0008,-0.6169,0.0952,-0.103,0.0106,-0.0245,0.1162,-0.0842,0.0251,0.002,-0.0497,-0.1056,0.0255,-0.4644,-0.1689,-0.1911,-0.0096,0.0691,0.0465,0.0598,0.0743,-0.106,0.3539
Dimension 7,0.0285,0.0565,0.0396,0.0282,0.1449,0.1374,-0.2569,0.0667,0.0835,0.1533,0.0835,0.6599,0.1282,0.381,0.3472,-0.0524,0.155,0.0014,-0.0503,-0.0936,0.0054,0.0384,-0.0515,-0.0027,0.1129,-0.0857,-0.0982,0.0556,0.0389,-0.1361,0.0263,0.1311,-0.0447,0.1187
Dimension 8,0.0219,-0.0059,-0.0004,0.2397,0.1088,-0.0391,-0.6511,0.019,0.0212,-0.0424,0.0212,-0.3953,0.2274,0.1262,-0.1967,-0.0109,-0.0413,-0.1064,0.0126,-0.0522,-0.0709,-0.039,0.008,0.0034,0.126,0.0454,0.015,-0.084,-0.0633,-0.1077,-0.0019,0.063,0.006,0.4149
Dimension 9,0.0181,0.1833,0.1409,0.1597,-0.1435,0.1786,0.1127,-0.1782,-0.1776,0.2024,-0.1776,-0.3969,-0.0478,0.2349,0.2898,-0.1704,0.2104,-0.0995,-0.2647,-0.0232,0.0491,0.1271,-0.0733,-0.0399,0.052,-0.1439,-0.0903,-0.2806,0.1376,0.1161,0.0848,0.2684,-0.0719,-0.1207
Dimension 10,0.0155,-0.1414,-0.1231,-0.2402,-0.2464,0.1581,-0.1023,-0.0266,-0.0158,0.1759,-0.0158,-0.1709,-0.0292,0.3309,0.2053,0.0514,0.179,0.0872,0.2532,0.2209,-0.0865,0.1035,0.199,0.0509,0.0695,-0.0063,0.072,0.1629,0.0347,0.2945,-0.0659,-0.4405,0.2018,0.1341
Dimension 11,0.0143,-0.1911,-0.1934,0.1361,0.2475,0.1044,0.1169,0.0554,0.0773,0.1175,0.0773,-0.2604,-0.2452,0.086,0.1194,-0.0189,0.1215,0.0511,0.3678,-0.3493,0.0063,0.0765,0.1128,0.0828,-0.1025,-0.001,0.0816,0.3393,-0.0571,-0.215,-0.0685,0.3694,0.1122,-0.0855
Dimension 12,0.0123,-0.0044,-0.0197,-0.1496,0.1425,0.0702,0.0413,0.1317,0.1562,0.0756,0.1562,-0.2188,-0.0489,0.039,0.0981,-0.1,0.0742,0.0329,-0.0681,0.4741,0.066,0.0497,-0.0884,-0.0223,0.0396,0.2584,-0.2442,-0.0509,0.0516,-0.6135,-0.0085,-0.1583,-0.0882,-0.116
Dimension 13,0.0105,-0.0669,-0.1233,-0.0092,0.0649,-0.0296,-0.0611,-0.2834,-0.3134,-0.0268,-0.3134,0.041,0.1133,-0.0159,-0.0401,-0.2405,-0.0192,0.019,0.2049,0.2511,0.1566,-0.0333,-0.3538,0.0212,0.0189,0.0868,0.0122,0.446,0.1253,0.059,-0.0039,0.0886,-0.3555,0.0468
Dimension 14,0.009,0.0192,0.0244,0.5499,-0.1127,-0.0084,0.0605,-0.1826,-0.2013,-0.0017,-0.2013,0.2246,-0.1764,0.002,-0.0325,0.19,0.0075,-0.0878,0.1186,0.3517,-0.1681,-0.0045,0.2662,0.0698,-0.177,0.177,-0.157,-0.0334,0.0249,-0.1506,0.0246,0.0637,0.2656,0.1034
Dimension 15,0.0071,0.0494,0.0032,0.548,0.3017,0.0299,0.055,0.0987,0.1191,0.0427,0.1191,-0.0324,-0.1915,0.0562,0.0564,-0.0222,0.0533,-0.0981,-0.0861,-0.0064,0.0666,0.0306,-0.2259,0.0249,-0.1347,-0.1295,0.1674,0.0743,-0.0789,0.1586,0.0198,-0.5358,-0.2242,-0.0568
Dimension 16,0.0058,-0.0335,-0.112,-0.1919,0.6554,0.0756,-0.0318,-0.1869,-0.1962,0.089,-0.1962,0.0229,0.069,-0.1585,-0.0032,0.2082,0.0978,0.0437,0.1049,0.0516,0.1628,0.0281,0.1237,0.1534,0.0141,-0.1861,0.0463,-0.376,0.1612,0.0181,0.0027,-0.0991,0.118,0.0015
Dimension 17,0.0043,-0.0705,-0.2314,0.0798,-0.206,-0.1233,0.0345,0.0653,0.0653,-0.1374,0.0653,0.0357,0.0487,0.2759,0.0603,-0.0114,-0.1415,0.0178,0.4965,-0.0304,0.2669,-0.0786,-0.1785,0.1693,-0.1394,0.08,-0.1049,-0.5226,-0.0656,0.0531,0.0518,0.0324,-0.1688,-0.0779
Dimension 18,0.0042,-0.0242,-0.0103,0.0584,0.0183,0.1183,-0.103,0.006,0.0144,0.133,0.0144,0.0317,-0.059,-0.2082,-0.0483,-0.0548,0.1383,-0.007,-0.0723,-0.308,0.3876,0.0369,0.0734,-0.0337,0.0223,0.539,-0.4758,0.0442,0.108,0.265,-0.0186,-0.1234,0.0669,0.0314
